Programa,Fines de Aprendizaje del Programa,Semestre,Clave de UF (GCA),Unidad de Formación,Tipo de UF,Semanas de la UF,Créditos Académicos de la UF,Criterios de Evaluación,Tipo de Evaluación,Formato de Impartición,"Otras Propiedades (ED, LAB, SOS, SH)",Competencia común ,Clave de la competencia,Disciplina de la Competencia,Nombre de la competencia,Descripción de la competencia,Subcompetencia común,Clave de la subcompetencia,Disciplina de la Subcompetencia,Nombre de la subcompetencia,Descripción de la subcompetencia,Elemento común,Clave del elemento,Elemento (Fin de Aprendizaje de la UF),Temas,Duración del Tema,Subtemas
English,Analyze and comprehend texts in English to apply knowledge in different contexts.,5,,Communication,Course,10,6,,Development,Online,,No,PR-INGL-0B1A004,,Linguistic Foundation,Base your proposals for communication through the application of the principles of English grammar and phonetics.,Yes,PR-INGL-0B1A005,,Research,"Develop research for the construction of proposals, projects or products using various methodologies and technological tools.",Yes,PR-INGL-0B1A006,Develop Reading Comprehension,Complex Text Analysis,10,Program
INGE26,Develop skills for the analysis and problem-solving in engineering.,5,,Calculator,Subject,10,6,,Development,On-Campus,,No,PR-INGE26-0A1F001,,Foundations of Engineering,Foundations of Design Proposals based on the Application of Principles from Engineering Theory and History from Diverse Inclusion Perspectives.,Yes,PR-INGE26-0A1F002,,Research,"Develops research for the construction of proposals, projects or products using various methodologies and technological tools.",Yes,PR-INGE26-0A1F003,Systems Thinking Development,Information Synthesis Techniques.,10,
INGE26,Develop systems analysis and design for engineering problem-solving.,5,,Calculator,Course,10,6,,Development,On-site,,No,PR-INGE26-0A1F004,,Foundations of Engineering,Foundations of Design Proposals based on the Application of Principles from Theory and History of Engineering from Different Inclusion Perspectives,Yes,PR-INGE26-0A1F005,,Research,"Develop research for the construction of proposals, projects or products using various methodologies and technological tools.",Yes,PR-INGE26-0A1F006,Systemic Thinking Development,Complex Systems Analysis,10,Program
INF26,Design and develop information technology solutions for complex problems.,5,,Algorithms,Course,10,6,,Development,On-site,,No,PR-INF26-0A1B001,,Theoretical and Historical Foundation,Foundationalize your design proposals through the application of principles from the theory and history of computer science and information technology from various perspectives of inclusion.,Yes,PR-INF26-0A1B002,,Research,"Develop research for the construction of proposals, projects or products using diverse methodologies and technological tools.",Yes,PR-INF26-0A1B003,Systematic Thinking Development,Information Synthesis Techniques.,10,
INF26,Design and implement information systems to solve problems in complex environments.,5,,Algorithms,Subject,10,6,,Development,On-site,,No,PR-INF26-0A1B004,,Theoretical and Historical Foundations,Base foundations of your design proposals through the application of principles from the theory and history of computer science and computing science from different inclusion perspectives.,Yes,PR-INF26-0A1B005,,Research,"Develops research for the construction of proposals, projects or products using various methodologies and technological tools.",Yes,PR-INF26-0A1B006,Systematic Thinking Development,Complex Systems Analysis,10,Program
ING31,Develop skills for analyzing and solving problems in the field of software engineering.,5,,Algorithms,Course,10,6,,Development,On-site,,No,PR-ING31-0B1A001,,Algorithm Analysis,Software Engineering Problem-Solving Algorithm Analysis and Design,Yes,PR-ING31-0B1A002,,Research,Conduct research on specific problems in the area of software engineering.,Yes,PR-ING31-0B1A003,Develop programming skills.,Advanced Programming Techniques.,10,
ING31,Design and develop innovative solutions in the area of software engineering.,5,,Algorithms,Subject,10,6,,Development,On-campus,,No,PR-ING31-0B1A004,,Algorithm Analysis,Design Algorithms for Solving Problems in Software Engineering.,Yes,PR-ING31-0B1A005,,Research,Conduct research on specific problems in the field of software engineering.,Yes,PR-ING31-0B1A006,Develop skills for programming.,Software Development Projects,10,Program
INF26,Information Systems Analysis and Design.,5,,Development,Subject,10,6,,Development,On-Campus,,No,PR-INF26-0B10000,,Theoretical and Historical Foundation,Base Found Your Design Proposals through the Application of Principles from the Theory and History of Computing and Informatics from Different Inclusion Perspectives.,Yes,PR-INF26-010100,,Research,"Develop research for the construction of proposals, projects or products using diverse methodologies and technological tools.",Yes,PR-INF26-010101,Systemic Thinking Development,Introduction to Complex Systems.,10,
INF26,Design and implement effective algorithms for specific problems.,5,,Development,Subject,10,6,,Development,In-Person,,No,PR-INF26-0B10001,,Theoretical and Historical Foundations,Ground your design proposals through the application of principles from computer science and information theory from diverse inclusion perspectives.,Yes,PR-INF26-010102,,Research,"Develop research for the construction of proposals, projects or products utilizing diverse methodologies and technological tools.",Yes,PR-INF26-010103,Systemic Thinking Development,Information Synthesis Techniques.,10,Program
ING26,Develop skills in programming and data analysis for solving business problems.,5,,Algorithms,Subject,10,6,,Development,On-site,,No,PR-ING26-0I1A001,,Theoretical and Historical Foundation,"Ground your design proposals through the application of principles from programming theory, history, and data analysis.",Yes,PR-ING26-0I1A002,,Research,"Develop research for the construction of solutions, projects or products utilizing diverse methodologies and technological tools.",Yes,PR-ING26-0I1A003,Systemic Thinking Development,Complex Data Analysis,10,
ING26,Develop innovative solutions using programming tools and languages in the corporate environment.,5,,Algorithms,Subject,10,6,,Development,On-site,,No,PR-ING26-0I1A004,,Theoretical and Historical Foundation,Found Foundational principles of design through the application of programming theory and data analysis history.,Yes,PR-ING26-0I1A005,,Research,"Develop research for the construction of solutions, projects or products using various methodologies and technological tools.",Yes,PR-ING26-0I1A006,Systemic Thinking Development,Design of Efficient Algorithms.,10,Program
Software Engineering,Develop skills for analyzing and designing computer solutions.,4,,Requirements Analysis,Subject,8,6,,Development,Virtual,,No,PR-INGEN-0B10001,,Theoretical and Historical Foundation,Fundament your design proposals through the application of principles from software theory and history.,Yes,PR-INGEN-0B10002,,Research,Develop research for the construction of IT solutions using various methodologies and technological tools.,Yes,PR-INGEN-0B10003,Systemic Thinking Development,Software Design Techniques,10,
Software Engineering,Develop skills for implementing and testing information systems.,5,,Requirements Analysis,Subject,8,6,,Development,Virtual,,No,PR-INGEN-0B10004,,Theoretical and Historical Foundation,Ground your design proposals through the application of principles from software theory and history.,Yes,PR-INGEN-0B10005,,Research,Develop research for the construction of IT solutions using various methodologies and technological tools.,Yes,PR-INGEN-0B10006,Systemic Thinking Development,Software Testing and Debugging.,10,Program
